Petrobras 66 (P-66),,,,
Petrobras 67 (P-67),,,,
Petrobras 69,,,,
Petrobras 70,,,,
PETROBRAS 71,,,,
Petrobras 74 (P-74),,,,
Petrobras 75 (P-75),,,,
Petrobras 76,,,,
Petrobras 77,,,,
Petrojarl 1,,,,
PLATAFORMA BIQUARA 1,,,,
PLATAFORMA DE AGULHA 1,,,,
PLATAFORMA DE AGULHA 2,,,,
PLATAFORMA DE ARABAIANA 1,,,,
PLATAFORMA DE ARABAIANA 3,,,,
PLATAFORMA DE ARATUM 1,,,,
PLATAFORMA DE ARATUM 2,,,,
PLATAFORMA DE ATUM 1,,,,
PLATAFORMA DE ATUM 2,,,,
PLATAFORMA DE ATUM 3,,,,
PLATAFORMA DE CACAO 2,,,,
PLATAFORMA DE CACAO 3,,,,
PLATAFORMA DE CARAPEBA-I,,,,
PLATAFORMA DE CARAPEBA-III,,,,
PLATAFORMA DE CIOBA 1,,,,
PLATAFORMA DE CURIMÃ 1,,,,
PLATAFORMA DE CURIMÃ 2,,,,
PLATAFORMA DE CURIMÃ\x83 1,,,,
PLATAFORMA DE CURIMÃ\x83 2,,,,
PLATAFORMA DE ESPADA 1,,,,
PLATAFORMA DE MANATI 1,,,,
PLATAFORMA DE MERLUZA,,,,
Plataforma de MexilhÃ£o,,,,
Plataforma de Mexilhão,,,,
PLATAFORMA DE PESCADA 1B,,,,
PLATAFORMA DE PESCADA 2,,,,
PLATAFORMA DE PIRANEMA,,,,
PLATAFORMA DE UBARANA 1,,,,
PLATAFORMA DE UBARANA 10,,,,
PLATAFORMA DE UBARANA 11,,,,
PLATAFORMA DE UBARANA 12,,,,
PLATAFORMA DE UBARANA 13,,,,
PLATAFORMA DE UBARANA 15,,,,
PLATAFORMA DE UBARANA 2,,,,
PLATAFORMA DE UBARANA 3,,,,
PLATAFORMA DE UBARANA 4,,,,
PLATAFORMA DE UBARANA 5,,,,
PLATAFORMA DE UBARANA 6,,,,
PLATAFORMA DE UBARANA 7,,,,
PLATAFORMA DE UBARANA 8,,,,
PLATAFORMA DE UBARANA 9,,,,
PLATAFORMA DE VERMELHO-I,,,,
PLATAFORMA DE VERMELHO-II,,,,
PLATAFORMA DE VERMELHO-III,,,,
PLATAFORMA DE XAREU 1,,,,
PLATAFORMA DE XAREU 2,,,,
PLATAFORMA DE XAREU 3,,,,
PLATAFORMA OESTE DE UBARANA 1,,,,
PLATAFORMA OESTE DE UBARANA 2,,,,
PLATAFORMA PCB-01 DE CAIOBA,,,,
PLATAFORMA PCB-02 DE CAIOBA,,,,
PLATAFORMA PCB-04 DE CAIOBA,,,,
PLATAFORMA PCM-01 DE CAMORIM,,,,
PLATAFORMA PCM-02 DE CAMORIM,,,,
PLATAFORMA PCM-03 DE CAMORIM,,,,
PLATAFORMA PCM-04 DE CAMORIM,,,,
PLATAFORMA PCM-05 DE CAMORIM,,,,
PLATAFORMA PCM-06 DE CAMORIM,,,,
PLATAFORMA PCM-07 DE CAMORIM,,,,
PLATAFORMA PCM-08 DE CAMORIM,,,,
PLATAFORMA PCM-09 DE CAMORIM,,,,
PLATAFORMA PCM-10 DE CAMORIM,,,,
PLATAFORMA PDO-01 DE DOURADO,,,,
PLATAFORMA PDO-02 DE DOURADO,,,,
PLATAFORMA PDO-03 DE DOURADO,,,,
PLATAFORMA PGA-01 DE GUARICEMA,,,,
PLATAFORMA PGA-02 DE GUARICEMA,,,,
PLATAFORMA PGA-03 DE GUARICEMA,,,,
PLATAFORMA PGA-05 DE GUARICEMA,,,,
PLATAFORMA PGA-07 DE GUARICEMA,,,,
PLATAFORMA PGA-08 DE GUARICEMA,,,,
PLATAFORMA PRB-01 DE ROBALO,,,,
Polvo A,,,,
Ponto de Coleta de Tartaruga,,,,
SCHAHIN AMAZONIA,,,,
SCHAHIN VICTORIA 10K,,,,
SEVAN BRASIL,,,,
SIEM HELIX -1,,,,
SIEM HELIX -2,,,,
SSV VICTORIA,,,,
Unidade de Produção Terrestre - Tartaruga,,,,
Unidade de Tratamento de Gás de Cacimbas - UTGC,,,,
UTPF de Guamaré,,,,
WEST CARINA,,,,
WEST EMINENCE,,,,
WEST ORION,,,,
ZEPHIR I,,,,
