,feicao_id,name,operador,titularida,categoria,tipo_grupo,tipo,cadastro,sigla_esta,nome_bacia,nome_bloco,sigla_camp,nome_campo,ambiente,ogr_fid,pos_anp,reclassifi,situacao,dat_inicio,dat_termin,dat_conclu,lat_4c,long_4c,latitude,longitude,datum_hori,tipo_coord,direcao,prof_vert,prof_sond,prof_medid,ref_profun,mesa_rotat,cota_altim,lamina_dag,datum_vert,uni_estrat,geo_grup_f,geo_form_f,geo_memb_f,cdpe,agp,pc,pag,p_conven,dur_perfur,p_digitais,p_process,p_espec,a_lateral,sismica,tempo_prof,dados_dire,teste_cabo,teste_form,canhoneio,testemunho,geoquimica,sig_sonda,nome_sonda,at_presal,creation_d,modificati,camada_id,geometry
141,1349936,9-RO-145D-RJS,Petrobras,Público,Especial,especial,Explotatório,74281026932,RJ,Campos,,RO,RONCADOR,M,24349,S,OBSERVAÇÃO,ABANDONADO PERMANENTEMENTE,18/03/2013,06/06/2013,06/06/2013,,,,,SIRGAS2000,Definitiva,Direcional,3300,4143,4143,MR,24,1734,1734,NM,,Campos,Ubatuba,,Existe,,,,,Existe,,,,,,,Existe,Existe,,,,,SS-81,NORBE VI,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7571 -21.9447)
142,1349988,9-RO-95D-RJS,Petrobras,Público,Especial,especial,Explotatório,74281024656,RJ,Campos,RO,RO,RONCADOR,M,24389,S,OBSERVAÇÃO,ABANDONADO PERMANENTEMENTE,01/03/2010,25/01/2012,28/01/2012,,,,,SIRGAS2000,Definitiva,Direcional,3234,3865,3865,MR,26,1771,1771,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,Existe,,,,,P-23,PETROBRAS  XXIII,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7543 -21.9776)
143,1350000,7-RO-42HPB-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281020772,RJ,Campos,RO,RO,RONCADOR,M,25782,S,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,11/01/2004,00/01/1900,16/03/2004,,,,,SIRGAS2000,Definitiva,Horizontal,0,0,0,MR,24,1553,1553,NM,,,,,,,,,,,Existe,,,,,,Existe,,,,,,SS-49,SEDCO 707,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7953 -21.975)
144,1350465,9-RO-161D-RJS,Petrobras,Público,Especial,especial,Explotatório,74281028617,RJ,Campos,,RO,RONCADOR,M,24253,S,OBSERVAÇÃO,ABANDONADO PERMANENTEMENTE,29/11/2015,13/01/2016,29/01/2016,,,,,SIRGAS2000,Definitiva,Direcional,3692.27,3814,3814,MR,23,1833,1833,NM,,Campos,Ubatuba,,Existe,,,,Existe,Existe,,,,Existe,,,Existe,Existe,,,Existe,,SS-79,LONE STAR,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7236 -21.9925)
145,1350573,7-RO-105HP-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281025647,RJ,Campos,,RO,RONCADOR,M,24360,S,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,26/07/2011,08/10/2012,08/10/2012,,,,,SIRGAS2000,Definitiva,Horizontal,3120,3895,3895,MR,14,1779,1779,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,,,,,,NS-15,PARAGON DPDS3 (NOBLE ROGER EASON),N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7472 -21.9492)
146,1350574,7-RO-126HP-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281027126,RJ,Campos,,RO,RONCADOR,M,24332,S,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,18/06/2013,15/07/2013,15/07/2013,,,,,SIRGAS2000,Definitiva,Horizontal,3177.4,4020,4020,MR,24,1777,1777,NM,,Campos,Ubatuba,,Existe,,,,,Existe,,,,,,,Existe,Existe,,,,,SS-51,LOUSIANA,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7505 -21.9583)
147,1350575,9-RO-20-RJS,Petrobras,Público,Especial,especial,Explotatório,74281018954,RJ,Campos,RO,RO,RONCADOR,M,24326,S,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,25/07/2000,00/01/1900,19/10/2000,,,,,SIRGAS2000,Definitiva,Vertical,0,3381,3381,MR,27,1800,1800,NM,,,,,,Existe,,,,,Existe,,,,,,,,,,,Existe,P-23,PETROBRAS  XXIII,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.743 -21.9608)
148,1350638,7-RO-114HP-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281025872,RJ,Campos,,RO,RONCADOR,M,24311,S,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,24/11/2011,13/09/2012,13/09/2012,,,,,SIRGAS2000,Definitiva,Horizontal,3059,3840,3840,MR,17,1780,1780,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,Existe,,,,,NS-07,ABAN ABRAHAM,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7507 -21.9715)
149,1351360,9-RO-157D-RJS,Petrobras,Público,Especial,especial,Explotatório,74281027976,RJ,Campos,,RO,RONCADOR,M,24359,S,OBSERVAÇÃO,ABANDONADO PERMANENTEMENTE,30/12/2014,28/01/2015,28/01/2015,,,,,SIRGAS2000,Definitiva,Direcional,3303.2,3870,3870,MR,24,1775,1775,NM,,Campos,Ubatuba,,Existe,,,,,Existe,,,,,,,Existe,Existe,,,,,SS-80,SS Pantanal,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7481 -21.9492)
150,1351581,7-RO-107HP-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281025524,RJ,Campos,,RO,RONCADOR,M,24322,S,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,20/05/2011,01/04/2012,08/05/2012,,,,,SIRGAS2000,Definitiva,Horizontal,3103,4451,4451,MR,14,1818,1818,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,,,,,,NS-15,PARAGON DPDS3 (NOBLE ROGER EASON),N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7366 -21.962)
